"","countries","GEF6","GEF7","type","needs","OECD","gdpconstant2010us","amt_provided_developinginthousan","mobilizing_int_finflowsinusdthou","mobililizing_int_flows_coeff","MaxDomExp","LastDomExp","dom_exp","ln_domexp...12","gaps","avail_resources","expected_funding_gap","int_pob","incl","eval","inc_pob","type_exp","sources","domestice_sources","international_sources","report_dom_exp","report_funding_gaps","prepare_fin_plans","countrycode","accesstocleanfuelsandtechnologie","adjustednetenrollmentrateprimary","adjustednetsavingsincludingparti","adjustedsavingscarbondioxidedama","adjustedsavingsenergydepletionof","adjustedsavingsmineraldepletiono","adjustedsavingsnaturalresourcesd","adjustedsavingsnetforestdepletio","adjustedsavingsnetnationalsaving","renewableelectricityoutputoftota","terrestrialandmarineprotectedare","terrestrialprotectedareasoftotal","totalfisheriesproductionmetricto","totalnaturalresourcesrentsofgdp","agriculturallandoflandarea","agriculturalmethaneemissionsofto","agriculturalnitrousoxideemission","agricultureforestryandfishingval","alternativeandnuclearenergyoftot","birdspeciesthreatened","capturefisheriesproductionmetric","CO2_Ems","coalrentsofgdp","droughtsfloodsextremetemperature","fertilizerconsumptionkilogramspe","fishspeciesthreatened","forestrentsofgdp","GDPgrowth","gdpperunitofenergyusepppperkgofo","mammalspeciesthreatened","mineralrentsofgdp","nitrousoxideemissionsinenergysec","oilrentsofgdp","permanentcroplandoflandarea","plantspecieshigherthreatened","Pollution_Expo","povertyheadcountratioatnationalp","refugeepopulationbycountryorterr","urbanpopulationgrowthannual","controlofcorruptionestimate","governmenteffectivenessestimate","politicalstabilityandabsenceofvi","regulatoryqualityestimate","ruleoflawestimate","voiceandaccountabilityestimate","populationgrowthannual","populationtotal","cbd_region","dev","broad_region","biofin","ln_needs","ln_domexp...80","ln_Avail_resources","ThSpecies_Biofin","average_crs","ln_averagecrs","domexp_thousand","lndomexp_thousand","new_avgcrs","ln_newavgcrs","average_agriculture_land","average_agriffvaluegdp","average_aquaculture_productionme","average_arable_land","average_co2emmkt","average_forestarealandarea","average_forestareasqkm","average_gnipercapita","landareasqkm","average_permanentcropland","average_population_density","average_renewable_energy_conspto","_merge","id","Threatened_Species","lnGDP","ln_renewable_output","Aid_GDP","lnAid_GDP","ln_AgriFF","newneeds","GDP_CO2","ln_CO2_Ems","Gov","lnpop","agri_pop","ln_average_co2emmkt","GDP_averageco2emskt","yhat_extrapdomexp","extrapolate_domexp","manual_extrapdomexp","lnmanual_extrapdomexp","yhat_method1","extrap_needs_method1","yhat_method2","extrap_needsII","ln_newneeds","pc1","pc2","pc3","pc4","pca","Needs_prob","Index_dcq","new_domexp","ln_newdomexp","new_domexp_max","ln_newdomexp_max","new_domexp_last","ln_newdomexp_last","new_needs","constant","ln_gef6","ln_gef7"
"54","Cyprus",NA,NA,"Developed_Countries",NA,0,2.5e+10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CYP",100,98.6168,5.14439,0.793909,0,0.022592,0.022592,0,-0.131179,3.5094,1.6871,18.6503,8370.7,0.045703,13.3092,39.9421,64.5659,5e+08,3.32455,7,4105.82,0.281479,0,0.002678,159.847,24,0.000969,1.40867,11.5481,6,0.044734,13.8773,0,3.34514,22,0,NA,4793.69,0.957394,0.866513,0.998165,0.557611,1.05223,0.895337,1.03828,0.778434,1200000,NA,3,"Europe",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1229.77,2.00085,4264.88,9.74272,7415.08,18.7001,1727.89,29088.5,9240,3.34514,122.025,7.02509,"matched (3)",50,13,23.94214,1.255445,NA,NA,20.03012,40200000,6.73921,-1.267697,2.049533,13.99783,50.26029,8.911271,213.3549,16.586,1.6e+07,1.6e+07,16.586,16.82964,20400000,16.94478,22900000,NA,0.2564286,0.9981697,-0.0774265,-0.074243,14.10293,0,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"55","Czech Republic",NA,NA,"Developed_Countries",NA,1,2.2e+11,NA,NA,NA,104000,71859,78814,18.1826012040222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CZE",96.7536,NA,7.02578,1.45134,0.170364,0,0.170994,0.00063,4.3997,7.58543,21.9991,22.0005,24380.2,0.650278,51.4293,30.1486,49.4115,3.5e+09,18.0388,9,4000.09,0.377597,0.447755,0.155746,127.88,2,0.164296,2.37607,6.97754,3,0,23.7333,0.026553,0.840383,26,0.978552,9.2375,2710,0.325897,0.481939,1.00567,0.997051,1.11707,1.10043,0.999219,0.210831,1.1e+07,NA,3,"Europe",0,NA,11.27485,NA,0,NA,NA,78800000,18.1826,NA,NA,39721.8,2.07157,20380.1,37.9404,109377,34.4276,26590,19089.9,77232.3,0.840383,135.674,11.4704,"matched (3)",51,12,26.11689,2.026229,NA,NA,21.97603,39900000,9.861661,-0.9739278,2.179304,16.21341,10.41748,11.60256,303.0228,19.64977,3.42e+08,78800000,18.1826,18.32821,91200000,17.70572,48900000,NA,1.324396,0.6759363,0.6082243,-0.617194,13.99136,0,5,78814000,18.1826012040222,1.04e+08,18.4599014571056,71859000,18.0902164236051,NA,1,NA,NA
"56","Democratic Republic of Congo",NA,NA,"Least_dev",147158,0,2.6e+10,0,NA,NA,120932,14163.7921524398,62449,17.9498607815974,62521.4,84637,62521.4,NA,1,0,1,2,2,21129,3750,0,0,0,"COD",3.81,NA,-13.6656,0.322306,1.25664,7.9442,19.7648,10.5639,6.69212,99.3174,13.3826,13.4555,231821,32.3729,11.448,23.7959,33.5693,5e+09,2.65905,42,228863,0.054576,0,0.017891,1.40056,94,18.0681,6.0372,2.00348,32,12.5784,1.55109,1.72089,0.365313,148,91.8722,63.9,249633,4.60731,-1.36902,-1.57831,-2.20416,-1.39434,-1.62323,-1.38733,3.27813,7.9e+07,NA,0,"Africa",0,11.89926,11.04211,11.34613,0,1385.22,7.233616,62400000,17.94986,1.39e+09,21.04913,259533,20.537,2958.77,3.05724,2461.37,67.8519,1500000,343.962,2300000,0.365313,30.6687,95.9792,"matched (3)",52,74,23.98136,4.598321,0.0532778,-2.932236,22.3327,1.47e+08,1.308807,-2.908161,-3.647667,18.18496,110.0445,7.808474,187.2579,16.5403,15300000,62400000,17.94986,18.58654,1.18e+08,18.70275,1.33e+08,18.8070173974589,-2.289424,0.1831702,-1.414652,-0.1513618,70.32773,1,21,62449000,17.9498607815974,120932000,18.610738962118,14163792.1524398,16.4661994177516,147158000,1,NA,NA
"57","Denmark",NA,NA,"Developed_Countries",NA,1,3.4e+11,NA,NA,NA,462226,448997.317285922,313792,19.564240903993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DNK",100,97.5893,15.2242,0.313101,1.06624,0.001241,1.06748,0,9.39477,38.9545,17.8708,17.9213,761811,1.2788,62.5737,65.1759,79.6775,3.8e+09,6.79236,9,726309,0.187785,0,0,124.174,18,0.01732,1.06808,13.4197,2,0.002632,9.58796,1.01667,0.119201,1,0,NA,24180.8,0.697376,2.20602,1.84231,0.908926,1.65909,1.94967,1.54922,0.63976,5700000,"Western Europe and Others",3,"Europe",0,NA,12.65649,NA,0,NA,NA,3.14e+08,19.56424,NA,NA,26425.5,1.18876,35502.2,56.8148,43603.5,14.005,5913.38,61254.7,42193.1,0.119201,132.843,23.4181,"matched (3)",53,11,26.55221,3.662394,NA,NA,22.05827,3360059,4.986107,-1.672458,3.996083,15.55598,50.97448,10.68289,283.6544,20.21556,6.02e+08,3.14e+08,19.56424,19.62399,3.33e+08,20.15137,5.64e+08,NA,0.5744747,0.8576672,1.914509,0.2121648,14.55882,0,6,313792000,19.564240903993,462226000,19.9515645069269,448997317.285922,19.9225274708244,NA,1,NA,NA
"58","Djibouti",3391553.59,NA,"Least_dev",NA,0,1.1e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DJI",8.95273,54.9857,3.94607,1.42592,0,0,0.833438,0.833438,-1.22651,0,1.26238,1.5731,1677.09,0.797661,73.4132,63.3555,84.2496,NA,NA,12,1677.09,0.201921,0,6.79685,NA,23,0.797661,7.47445,NA,11,0,3.47763,0,NA,3,100,21.1,15789.8,1.65768,-0.537627,-0.943866,-0.141473,-0.623897,-0.820168,-1.32911,1.55654,871870,NA,0,"Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17017.2,1.92415,NA,0.074123,519.084,0.241588,56,NA,23180,NA,37.613,31.8477,"using only (2)",54,23,20.84425,NA,NA,NA,NA,NA,4.208897,-1.599878,-1.389607,13.6784,131.1381,6.252066,130.3197,14.53035,2043852,2043852,14.53035,14.96735,3164017,14.84319,2794561,NA,-0.7416754,-2.288035,1.175111,-0.2803872,20.86501,0,10,NA,NA,NA,NA,NA,NA,NA,1,15.0367986605113,NA
"59","Dominica",2406419.46,NA,"Developing",NA,0,4.8e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DMA",87.8391,93.6214,NA,0.725047,0,0,0,0,NA,20.777,0.644266,22.0112,722.273,0.043286,32,49.3267,56.0057,6.2e+07,NA,7,709.273,0.19054,0,NA,114.615,31,0.043286,0.854513,14.5152,3,0,5.8601,0,21.697,12,0,NA,NA,0.547788,0.613941,-0.059055,1.08868,0.183322,0.607887,0.907943,0.170779,71331.6,NA,1,"America",0,NA,NA,NA,0,5.49852,1.704479,NA,NA,5498520,15.51999,240,12.7563,13,7.63636,133.642,59.1915,443.936,6828.82,750,21.697,94.7307,8.84454,"matched (3)",55,10,19.9893,3.033847,0.0114552,-4.469307,17.94264,126693.2,3.80876,-1.657893,1.114665,11.17509,9.564597,4.895163,97.85086,14.99119,3240347,3240347,14.99119,15.30192,4421201,15.45456,5150254,NA,-1.57559,0.0455518,-0.837463,-1.088213,6.544285,0,2,NA,NA,NA,NA,NA,NA,NA,1,14.6936504994736,NA
"60","Dominican Republic",9329832.5,4063927,"Developing",NA,0,6e+10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOM",87.7891,92.4553,15.912,1.01652,0,1.06402,1.09354,0.029519,16.2186,13.4164,16.5445,25.1645,15346.2,1.53848,49.2689,56.2037,73.7316,3.6e+09,2.19925,17,13812.8,0.197518,0,0.078705,88.7615,29,0.04568,5.58429,14.4435,7,1.4928,8.92072,0,7.85646,47,0,39.7636,581.889,2.62002,-0.775866,-0.365317,0.166012,-0.059166,-0.425543,0.163751,1.12035,1e+07,"Latin America and the Carribean",1,"America",0,NA,NA,NA,0,152.332,5.02606,NA,NA,1.52e+08,18.84157,23801.8,5.87796,1533.38,16.635,21027.8,38.3023,18503.8,5780.21,48310,7.85646,205.507,17.541,"matched (3)",56,24,24.81761,2.596478,0.0025389,-5.97604,22.0042,NA,4.901925,-1.621925,-0.6571668,16.1181,82.60519,9.953601,247.0246,17.67824,47600000,47600000,17.67824,17.94488,62100000,17.19857,29500000,NA,-0.4777913,-0.1394449,0.4173297,-0.2619289,23.53816,0,12,NA,NA,NA,NA,NA,NA,NA,1,16.0487276198221,15.2176603054807
"61","Ecuador",28213350.75,20771123,"Developing",387376,0,7.7e+10,23751.7,NA,NA,173370,127343,126621,18.6567089306956,219539,167837,219539,NA,1,1,1,2,3,259240,103539,NA,NA,NA,"ECU",93.8091,97.7411,10.0481,1.30159,6.29776,0.114716,6.60511,0.192635,14.4489,52.7116,14.7689,21.1341,822781,12.1066,28.0404,65.155,85.4026,7.7e+09,6.32939,106,530484,0.255112,0,0.336469,259.596,61,0.334929,3.22354,12.2864,47,0.160137,3.86048,11.5887,5.50956,1859,0,27.9583,117446,1.88649,-0.653585,-0.385765,-0.079495,-1.01511,-0.836031,-0.161986,1.68053,1.7e+07,"Latin America and the Carribean",1,"America",1,12.86715,11.74895,12.03075,153,219.327,5.390565,1.27e+08,18.65671,2.19e+08,19.20608,69641.1,9.31825,292296,4.61518,36534.7,51.791,128628,4833.24,248360,5.50956,62.4489,13.1431,"matched (3)",57,153,25.06707,3.964836,0.0028484,-5.860996,22.76449,3.87e+08,6.394911,-1.366053,-1.342917,16.64872,143.5216,10.50602,263.3551,17.75779,51500000,1.27e+08,18.65671,19.86234,4.23e+08,20.53981,8.32e+08,19.7749063555468,-0.1223843,0.2258448,-1.112815,0.3696983,152.3604,1,24,126621000,18.6567089306956,173370000,18.9709385969621,127343000,18.6623947912516,387376000,1,17.1553058547264,16.8490742627585
"62","Egypt",11075192.97,6212694,"Developing",11400,0,2.3e+11,0,NA,NA,10121,10121,6635,15.7078692257484,7400,4000,7400,NA,1,1,1,0,4,4700,2700,1,1,1,"EGY",95.8827,96.897,4.49507,2.44944,6.61289,0.185833,7.01902,0.220298,10.2044,10.1029,11.5509,13.1374,1300000,9.85856,3.67662,29.8155,68.3439,3.1e+10,1.5016,14,364162,0.258287,0,0.012213,603.134,58,0.221042,4.47807,10.8506,18,0.336309,6.09199,7.58853,0.918113,8,99.9971,25.225,157653,1.97924,-0.609345,-0.691237,-1.43095,-0.850081,-0.54719,-1.22303,2.14712,9.4e+07,NA,1,"Africa",0,9.341369,8.800114,8.294049,0,1111.38,7.013355,6635000,15.70787,1.11e+09,20.82887,36598.9,12.3357,939465,2.75851,202806,0.070923,706,2583.95,995450,0.918113,87.3339,5.8206,"matched (3)",58,32,26.16134,2.312823,0.0048321,-5.332479,24.15725,11400000,6.757135,-1.353684,-1.799044,18.3588,146.7426,12.22,319.6917,16.37851,1.3e+07,6635000,15.70787,16.14764,10300000,16.07636,9591221,16.2491239133647,0.3916021,-0.0554895,-0.5442553,1.264686,33.05654,1,16,6635000,15.7078692257484,10121000,16.130123031171,10121000,16.130123031171,11400000,1,16.2202182976714,15.6421051762636
"63","El Salvador",48073.75,NA,"Developing",NA,0,2e+10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLV",78.7745,92.2239,7.25721,0.859846,0,0,0.791994,0.791994,5.79128,59.8576,2.15186,8.77752,55605.5,0.798095,74.7587,53.5972,75.4642,1.2e+09,5.76376,7,51121,0.16887,0,0.360637,141.402,17,0.798095,2.23983,9.1916,6,0,8.10994,0,10.6441,33,10.7459,34.7455,39.3077,1.6513,-0.484282,-0.273085,-0.147152,0.083577,-0.690323,0.137561,0.487693,6400000,"Latin America and the Carribean",1,"America",0,NA,NA,NA,0,256.109,5.545605,NA,NA,2.56e+08,19.36111,15490,6.2756,4484.52,33.3757,6566.37,13.639,2826,3034.58,20720,10.6441,301.301,31.6305,"matched (3)",59,13,23.719,4.091969,0.0128055,-4.357883,20.90559,37200000,4.005427,-1.778626,-0.6659815,15.67181,36.80336,8.789717,208.4833,17.01061,24400000,24400000,17.01061,17.23023,30400000,16.31255,12100000,NA,-0.446803,-1.088254,1.592243,-0.0235349,13.03365,0,5,NA,NA,NA,NA,NA,NA,NA,1,10.7804915690789,NA
"64","Equatorial Guinea",19250,9533521,"Least_dev",NA,0,1.6e+10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GNQ",31.1018,45.9785,NA,1.11878,40.2951,0.01976,40.3149,0,NA,18.7992,1.76532,19.2678,7180.91,36.5843,10.4651,0.338697,27.0036,2.2e+08,NA,6,7170.36,0.15462,0,NA,NA,44,0.715539,1.44324,15.7181,23,0.020394,57.3932,32.2056,2.38211,98,100,76.8,NA,6.00188,-1.60011,-1.54914,0.06128,-1.37916,-1.36542,-1.9091,4.28881,1e+06,NA,0,"Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2935.45,1.41999,10.5455,4.3753,5011.97,57.5608,16145.8,11459.8,28050,2.38211,36.9771,6.3102,"using only (2)",60,29,23.51385,2.933813,NA,NA,19.22294,NA,3.635716,-1.866784,-2.694451,13.85204,115.8136,8.519586,200.3283,15.78364,7157241,7157241,15.78364,16.19599,10800000,20.64082,9.21e+08,NA,-1.131939,-0.5958872,-2.89517,2.113049,26.49005,0,13,NA,NA,NA,NA,NA,NA,NA,1,9.86526633971593,16.0703246722429
"65","Eritrea",9891380.34,NA,"Least_dev",29824.2,0,2.1e+09,0,NA,NA,64573,70187.9276011667,18953,16.7574727883084,18424.2,11400,18424.2,0,1,1,1,NA,NA,0,0,0,0,0,"ERI",12.7436,45.326,NA,0.722996,0,2.23054,4.99404,2.7635,NA,0.615505,3.59629,4.87159,4047,5.76085,75.1143,66.9392,89.1667,NA,0.023182,21,4047,0.087171,0,7.32348,1.64501,29,2.85222,0.904178,8.43926,15,2.90863,5.14917,0,0.019802,6,100,NA,3692.54,4.47289,-1.20361,-1.66903,-0.734854,-2.17014,-1.55875,-2.14696,NA,NA,NA,0,"Africa",0,10.30308,9.849717,9.341369,0,25.4328,3.236038,1.9e+07,16.75747,25400000,17.05155,75865.5,19.9416,0,6.77768,577.756,15.1248,15276,691.917,101000,0.019802,30.4981,80.4449,"matched (3)",61,36,21.4652,-0.4853123,0.0121108,-4.413655,NA,29800000,1.871143,-2.439883,-3.342376,NA,NA,6.359152,136.5005,15.4259,5004777,1.9e+07,16.75747,17.1687,28600000,NA,NA,17.2108307024536,-1.654516,-2.411758,1.017663,-0.1878388,32.76355,1,16,18953000,16.7574727883084,64573000,17.9833069247283,70187927.6011667,18.0666868827139,29824200,1,16.1071742631219,NA
"66","Estonia",NA,NA,"Developed_Countries",123649,1,2.3e+10,545.082,266,14,236194,132308,199734,19.1124970392773,12079.5,111570,12079.5,1,2,1,1,2,3,5651,7266,1,1,1,"EST",90.2645,96.6287,12.9506,2.23195,0.526437,0,0.526437,0,10.9887,7.48586,19.501,20.2057,84243,1.41515,22.1743,29.0982,64.7355,5.7e+08,0.395001,9,83538,0.571491,0,0,85.3494,5,0.745472,2.38283,5.78065,1,0,15.3563,0.669681,0.141332,0,0,21.8,121.231,-0.178671,1.32364,1.09536,0.664934,1.64971,1.29073,1.19828,0.043761,1300000,NA,3,"Europe",0,11.7252,12.20474,11.62241,0,NA,NA,2e+08,19.1125,NA,NA,9488.55,2.73352,704.955,14.6847,17854.6,52.2846,22365.1,16170.3,42888.5,0.141332,30.9333,23.2306,"matched (3)",62,10,23.85876,2.013016,NA,NA,20.16115,1.24e+08,13.63507,-0.5595065,2.814645,14.07788,2.83289,9.790018,233.5777,17.1485,2.8e+07,2e+08,19.1125,19.19009,2.16e+08,19.09754,1.97e+08,18.6329574645557,1.847037,1.126322,-1.148596,-1.42086,10.4039,1,3,199734000,19.1124970392773,236194000,19.2801640592034,132308000,18.7006430958889,123649000,1,NA,NA
"67","Eswatini",7280188.59,NA,"Developing",1706.5,0,4.8e+09,0,NA,NA,2057,2059.44161006353,1660,14.3223281603327,992.5,714,992.5,NA,1,0,0,2,2,142,213,0,0,0,"SWZ",42.9055,77.4091,5.59036,0.727432,0.015829,0.097913,1.56562,1.45188,1.43508,44.5032,4.18719,4.18867,141.545,2.97429,71.0782,56.6355,91.0113,5e+08,NA,13,61.3636,0.124611,0.17861,9.22659,NA,5,2.24336,2.92584,18.139,9,0.552321,4.42455,0,0.856237,13,0,60.95,706.769,1.34181,-0.351709,-0.580915,-0.408215,-0.543369,-0.307877,-1.38225,0.888159,1100000,NA,1,"Africa",0,7.4422,7.414573,6.570883,0,45.2934,3.813161,1660000,14.32233,45300000,17.62867,12225.5,9.84558,110.25,10.222,1089.51,33.0106,5677.82,4345.01,17200,0.856237,62.8942,64.2582,"matched (3)",63,22,22.29188,3.795561,0.0094361,-4.66321,20.03012,1706500,2.777814,-2.082558,-0.9580909,13.91082,80.8325,6.99348,155.8978,16.78325,19400000,1660000,14.32233,14.76339,2580244,14.26062,1560667,14.3499550473289,-1.25584,-1.206066,0.876095,-0.497238,19.91695,1,9,1660000,14.3223281603327,2057000,14.5367591686351,2059441.61006353,14.5379454409456,1706500,1,15.8006673250571,NA
"68","Ethiopia",19168486.32,11848253,"Least_dev",159375,0,3.8e+10,0,NA,NA,48490,48547.5564764125,15334,16.545583143101,71718.7,87656.3,71718.7,0,2,0,1,2,3,673,114430,0,0,1,"ETH",2.79273,77.1156,8.02612,0.586462,3.2e-05,0.387393,13.6917,13.3042,17.9658,97.0114,18.475,18.4733,28002.3,15.6243,35.666,72.0082,88.3496,1.4e+10,0.806227,35,27956.5,0.08208,0.00107,3.26302,19.3664,14,15.0759,10.0953,2.20684,34,0.547347,4.58787,0,1.06891,64,60.6731,26.55,432382,4.90491,-0.471023,-0.602995,-1.49604,-1.03547,-0.470976,-1.31747,2.70953,1e+08,NA,0,"Africa",0,11.97902,9.637828,11.38118,0,1661.84,7.415682,15300000,16.54558,1.66e+09,21.23119,356660,40.5808,45.8455,14.5971,7759.37,12.5015,125015,340.319,1e+06,1.06891,93.1819,93.815,"matched (3)",64,69,24.36085,4.574829,0.0437327,-3.12966,23.36232,1.59e+08,1.999539,-2.500061,-1.767671,18.42068,239.3859,8.956656,218.1918,16.54233,15300000,15300000,16.54558,17.22316,30200000,17.19749,29400000,18.886770473877,-1.162483,-0.4620217,0.6371834,0.4630208,68.4757,1,21,15334000,16.545583143101,48490000,17.6968681490815,48547556.4764125,17.698054421392,159375000,1,16.7687781510279,16.2876909885168
"69","Faroe Islands",NA,NA,NA,NA,0,2.3e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FRO",NA,NA,NA,0.606556,0,0,NA,NA,NA,42.2893,0.023412,2.33273,552058,0,2.149,36.2994,86.6891,3.4e+08,NA,6,491502,NA,0,NA,NA,13,0,NA,NA,4,0,0,0,NA,0,NA,NA,NA,0.553372,NA,NA,NA,NA,NA,NA,0.123919,47971.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,14.5551,60556,2.149,626.65,0.057307,0.8,49163.2,1396,NA,34.3635,4.99226,"using only (2)",65,10,21.56502,3.744535,NA,NA,19.6478,NA,NA,NA,NA,10.77836,10.7424,6.440387,138.8871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"70","Fiji",4416394.77,NA,"Developing",NA,0,3.5e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FJI",37.3082,98.9173,5.70981,0.776739,0,0.753285,0.753285,0,3.39349,55.5351,0.990178,5.40746,45573.1,1.84186,23.3149,78.7374,91.5525,3.3e+08,NA,14,44752.6,0.170146,0,1.72864,32.8613,20,0.741521,2.73433,10.6478,7,1.10033,2.41123,0,4.62756,78,0,34.6,6.9,1.4842,0.243903,-0.111205,0.686665,-0.313073,-0.312874,0.054725,0.408798,873684,NA,1,"Oceania",1,NA,NA,NA,21,68.378,4.225051,NA,NA,68400000,18.04056,4259.64,10.0214,820.502,9.10882,1083.8,54.8971,10029.7,3539.27,18270,4.62756,47.0945,35.8561,"matched (3)",66,21,21.97603,4.017015,0.0195366,-3.935467,19.6146,NA,3.739133,-1.771098,0.0867584,13.68047,37.42648,6.988231,153.5736,16.06216,9455968,9455968,16.06216,16.39709,13200000,15.99257,8820373,NA,-1.37622,0.3871381,-0.798556,-0.708311,18.50405,0,8,NA,NA,NA,NA,NA,NA,NA,1,15.300834258324,NA
"71","Finland",NA,NA,"Developed_Countries",851722,1,2.5e+11,NA,23373.5,1.15,3248813,3346716.2027972,3e+06,21.8218781256145,52519.2,799203,52519.2,1,2,2,1,NA,NA,0,0,1,1,1,"FIN",100,98.4508,10.0224,0.536326,0,0.134369,0.134369,0,4.59033,34.5708,14.1772,14.9955,178202,0.539146,7.51543,20.4486,40.461,6.2e+09,21.9331,11,165015,0.2685,0,0.000387,101.026,6,0.308345,0.954791,6.11859,2,0.230801,30.3822,0,0.012622,2,0,NA,12082.7,0.615232,2.22177,1.91225,1.06549,1.82887,2.05039,1.55654,0.288689,5500000,"Western Europe and Others",3,"Europe",0,13.65501,14.89968,13.59137,0,NA,NA,2.96e+09,21.80744,NA,NA,22842,2.31422,13186.8,7.39758,55823.1,73.0564,222044,47176.4,303931,0.012622,17.7861,36.0959,"matched (3)",67,13,26.24473,3.54301,NA,NA,22.54782,8.52e+08,7.046709,-1.314904,4.225566,15.52026,11.68064,10.92994,286.8534,20.31359,6.64e+08,2.96e+09,21.80744,21.7557,2.81e+09,22.02979,3.69e+09,20.5627707404693,0.1874055,2.864697,-0.8591413,-0.7957807,14.39718,1,6,3e+09,21.8218781256145,3248813000,21.9015555358058,3346716202.7972,21.931245464065,851722000,1,NA,NA
"72","France",NA,NA,"Developed_Countries",NA,1,2.7e+12,NA,NA,NA,2931702,2928993.47306114,2500000,21.6395565688206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FRA",100,98.864,9.0589,0.316728,0.009138,0.000232,0.00937,0,4.47537,13.8363,30.8319,25.8713,721842,0.049133,52.8436,43.6862,70.6077,4.2e+10,46.4742,16,516216,0.148193,0,0.005718,163.34,53,0.036613,1.11053,9.42657,9,0.000515,7.52657,0.009654,1.86604,47,0,NA,235541,0.773798,1.31938,1.41557,0.140008,1.12176,1.43589,1.17766,0.297347,6.7e+07,"Western Europe and Others",3,"Europe",0,NA,14.72076,NA,0,NA,NA,2.47e+09,21.62852,NA,NA,289349,1.53879,205627,33.4511,346508,30.2021,165374,42321.2,547557,1.86604,119.744,11.4933,"matched (3)",68,25,28.62427,2.627295,NA,NA,24.46094,NA,4.241917,-1.90924,2.578672,18.0202,20.99499,12.75566,365.1215,21.27926,1.74e+09,2.47e+09,21.62852,21.6794,2.6e+09,21.08958,1.44e+09,NA,0.3130291,1.361346,1.551556,0.2683623,28.49429,0,14,2.5e+09,21.6395565688206,2931702000,21.7988489786976,2928993473.06114,21.7979246764048,NA,1,NA,NA
"73","French Polynesia",NA,NA,"Small_Island_dev_states",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PYF",NA,NA,NA,NA,NA,NA,NA,NA,NA,30.4885,0.005852,1.95546,15823.6,NA,12.3448,26.8056,49.1375,NA,NA,35,13606.4,NA,NA,NA,272.443,28,NA,NA,NA,0,NA,11.306,NA,6.15996,48,NA,NA,NA,1.11229,NA,NA,NA,NA,NA,NA,0.542211,269209,NA,4,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451.818,NA,2217.2,0.720318,829.149,41.1078,1504.55,NA,3660,6.15996,73.5542,9.83314,"using only (2)",69,35,NA,3.417351,NA,NA,NA,NA,NA,NA,NA,12.50324,26.64294,6.7204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
